Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9311	dN/dS 70_70	dN/dS PAML
sync_2343	adenosylmethionine-8-amino-7-oxononanoate transaminase (EC:2.6.1.62 )	0.136	0.021	0.155	22.67	95.84	3.3	0.125	0.122	0.141555533410362
sync_2344	hypothetical protein	NaN	0.0	0.0	0.0	79.17	2.159	NaN	NaN	1.56103286384977
sync_2345	DnaJ domain protein	0.033	0.006	0.177	45.95	100.0	4.94	0.04	0.033	0.349875159900618
sync_2346	methyltransferase GidB (EC:2.1.- )	0.147	0.02	0.135	68.89	100.0	5.614	0.152	0.147	0.180166236862265
sync_2347	oxidoreductase, aldo/keto reductase family protein	0.114	0.019	0.17	75.96	100.0	6.188	0.124	0.114	0.104935350877129
sync_2348	3Fe-4S ferredoxin	0.086	0.016	0.188	100.0	100.0	12.82	0.087	0.086	0.0248248868036257
sync_2349	hypothetical protein	0.032	0.005	0.168	87.79	100.0	9.377	0.057	0.032	0.00349608197709464
sync_2350	hypothetical protein	0.191	0.029	0.153	100.0	100.0	9.967	0.208	0.191	NaN
sync_2351	HEAT-like repeat containing protein	0.059	0.009	0.147	100.0	100.0	14.09	0.066	0.059	0.0867785555201477
sync_2352	hypothetical protein	0.091	0.01	0.109	100.0	100.0	9.787	0.089	0.091	NaN
sync_2353	Sodium:solute symporter family, possible glucose transporter	0.076	0.008	0.11	80.1	100.0	7.17	0.069	0.076	0.0421820892064133
sync_2354	radical SAM enzyme, Cfr family protein	0.046	0.009	0.206	100.0	100.0	16.743	0.043	0.048	0.134236506515167
sync_2355	possible high light inducible protein	0.017	0.003	0.173	100.0	100.0	23.111	0.017	0.017	0.0306429548563611
sync_2356	DNA-directed RNA polymerase, beta'' subunit (EC:2.7.7.6 )	0.03	0.006	0.2	97.83	100.0	11.338	0.034	0.03	0.0585988607974659
sync_2357	DNA-directed RNA polymerase, gamma subunit (EC:2.7.7.6 )	0.024	0.005	0.208	97.8	100.0	12.257	0.02	0.024	0.0608221132822432
sync_2358	DNA-directed RNA polymerase, beta subunit (EC:2.7.7.6 )	0.01	0.002	0.209	89.86	100.0	8.217	0.01	0.017	0.00361743463433141
sync_2359	hypothetical protein	2.505	0.039	0.015	80.62	100.0	5.411	1.089	2.505	NaN
sync_2360	hydrolase, TatD family protein	0.069	0.011	0.166	55.73	100.0	5.051	0.064	0.081	0.177641271743909
sync_2361	ribosomal protein S20	0.025	0.004	0.142	85.67	100.0	7.007	0.022	0.025	0.0
sync_2362	histidinol dehydrogenase (EC:1.1.1.23 )	0.038	0.005	0.136	76.17	99.45	6.321	0.043	0.038	0.0617301736250673
sync_2363	ribose 5-phosphate isomerase A (EC:5.3.1.6 )	0.087	0.011	0.125	95.68	100.0	9.441	0.08	0.087	0.0405013735069668
sync_2364	Serine proteases, trypsin family protein (EC:3.4.21.- )	0.038	0.007	0.196	56.23	99.38	6.489	0.042	0.038	0.0879128372200712
sync_2365	hypothetical protein	0.199	0.04	0.198	76.19	100.0	8.099	0.192	0.199	0.350038855783184
sync_2366	possible ABC transporter, solute binding protein	0.081	0.015	0.183	81.37	100.0	7.247	0.087	0.081	0.121964256603115
sync_2367	hypothetical protein	0.047	0.008	0.172	92.06	100.0	6.197	0.065	0.047	0.0607262144217486
sync_2368	arylsulfatase regulator (EC:1.- )	0.103	0.022	0.209	96.88	100.0	8.943	0.096	0.1	0.0869421855311913
sync_2369	lipoprotein, putative	0.065	0.019	0.288	55.29	100.0	5.224	0.07	0.065	0.09365677134664
sync_2370	DUF150	0.149	0.017	0.112	92.41	100.0	9.622	0.186	0.147	0.757301499663348
sync_2371	transcription termination factor NusA	0.026	0.002	0.093	61.75	100.0	5.836	0.034	0.026	0.011240398009874
sync_2372	hypothetical protein	0.635	0.012	0.019	100.0	100.0	12.911	0.632	0.635	0.414982337957746
sync_2373	translation initiation factor IF-2	0.024	0.003	0.123	68.41	100.0	6.048	0.026	0.056	0.0811254859521844
sync_2374	hypothetical protein	0.365	0.028	0.077	60.37	91.97	4.841	0.46	0.34	0.393278811492508
sync_2375	hypothetical protein	0.047	0.009	0.19	90.04	100.0	7.212	0.073	0.047	0.883013964118264
sync_2377	Orotate phosphoribosyltransferase (OPRT) (OPRTase), putative	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2378	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2379	Keratin, ultra high-sulfur matrix protein B	0.0	0.0	0.097	58.49	100.0	5.088	0.0	0.0	0.559571648426813
sync_2380	Domain of unknown function (DUF389) family protein	0.098	0.015	0.156	53.24	82.06	4.486	0.102	0.098	0.139456055626954
sync_2381	hypothetical protein	NaN	0.0	0.0	0.0	46.02	1.371	NaN	0.0	0.025
sync_2382	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase(2,5-ddol dehydrogenase) (EC:1.1.1.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2383	hypothetical protein	1.207	0.067	0.056	21.51	50.0	1.78	0.703	0.763	NaN
sync_2384	photosystem q(b) protein	0.094	0.052	0.559	96.67	100.0	25.319	0.094	0.1	0.0828050158091611
sync_2385	hypothetical protein	0.135	0.016	0.12	86.9	100.0	7.577	0.141	0.135	0.293119262754836
sync_2386	putative lipoprotein	0.314	0.065	0.207	100.0	100.0	9.396	0.319	0.314	0.859051270524827
sync_2387	hypothetical protein	0.203	0.026	0.126	85.4	100.0	9.326	0.181	0.203	0.147456464860843
sync_2388	hypothetical protein	0.085	0.007	0.085	86.18	100.0	8.705	0.142	0.085	0.162436446606552
sync_2389	aspartoacylase (EC:3.5.1.15 )	0.168	0.03	0.18	87.23	100.0	6.453	0.158	0.168	0.346572882020996
sync_2390	Predicted glutathione S-transferase (EC:2.5.1.18 )	0.183	0.018	0.1	79.36	100.0	7.6	0.192	0.183	0.193495928500593
sync_2391	hypothetical protein	0.212	0.022	0.102	70.14	100.0	7.802	0.159	0.212	0.209540010198688
sync_2392	ABC transporter, ATP binding domain	0.076	0.011	0.149	98.23	100.0	9.553	0.07	0.076	0.0708824479600616
sync_2393	CP12 domain, putative	0.301	0.042	0.139	100.0	100.0	17.33	0.282	0.301	0.448948725415245
sync_2394	GTP-binding protein, GTP1/OBG family protein	0.034	0.005	0.144	98.18	100.0	10.874	0.033	0.034	0.314045085381765
sync_2395	ferric iron ABC transporter (FeT) family, ATP-binding protein	0.104	0.019	0.18	100.0	100.0	11.84	0.097	0.104	0.116626809400655
sync_2396	MutS2 family protein	0.07	0.011	0.157	94.87	100.0	10.572	0.076	0.07	0.133445513403612
sync_2397	possible ring-cleaving dioxygenase	0.033	0.005	0.146	94.53	100.0	8.259	0.039	0.033	0.267712526216017
sync_2398	delta-aminolevulinic acid dehydratase (EC:4.2.1.24 )	0.054	0.008	0.148	97.21	100.0	9.592	0.056	0.054	0.188648490741821
sync_2399	DnaJ3 protein	0.082	0.024	0.295	100.0	100.0	11.737	0.082	0.082	0.0716202862838506
sync_2400	hypothetical protein	0.285	0.064	0.225	100.0	100.0	14.542	0.317	0.285	0.46381916843168
sync_2401	sulfate transporter, sulfate permease (SulP) family protein	0.072	0.022	0.307	100.0	100.0	16.276	0.075	0.072	0.13343962090584
sync_2402	hypothetical protein	NaN	0.0	0.0	0.0	27.08	0.604	NaN	NaN	NaN
sync_2403	hypothetical protein	0.246	0.061	0.25	98.91	100.0	12.749	0.249	0.247	0.0
sync_2404	hypothetical protein	0.021	0.009	0.408	100.0	100.0	26.429	0.029	0.02	0.0525853666442697
sync_2405	tonB-dependent receptor protein (EC:1.3.99.- )	0.189	0.063	0.334	100.0	100.0	32.775	0.183	0.207	0.149556673117435
sync_2406	hypothetical protein	1.003	0.128	0.127	80.18	100.0	10.694	0.868	1.17	NaN
sync_2407	hypothetical protein	0.056	0.014	0.256	100.0	100.0	28.794	0.042	0.048	0.0264476772113991
sync_2408	hypothetical protein	0.138	0.038	0.279	100.0	100.0	29.884	0.152	0.138	0.620592187283264
sync_2409	ParB nuclease domain protein	0.185	0.055	0.295	100.0	100.0	30.364	0.195	0.185	0.754985380979598
sync_2410	hypothetical protein	0.557	0.158	0.283	87.76	100.0	22.139	0.541	0.599	1.45398343234989
sync_2411	hypothetical protein	NaN	0.0	0.0	0.0	79.45	1.028	NaN	NaN	NaN
sync_2412	dienelactone hydrolase	NaN	0.0	0.0	0.0	68.66	1.515	NaN	NaN	1.45881482558211
sync_2413	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.0	NaN	NaN	NaN
sync_2414	Phage integrase family domain protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2415	bacteriophage protein homolog	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2416	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2417	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2418	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2419	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2420	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2421	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2422	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2423	hypothetical protein	0.654	0.006	0.008	81.09	100.0	7.194	0.619	0.565	NaN
sync_2424	cytochrome P450 (EC:1.14.- )	NaN	0.0	0.0	0.0	32.66	0.327	NaN	NaN	NaN
sync_2425	hypothetical protein	NaN	0.0	0.0	0.0	18.52	0.185	NaN	NaN	NaN
sync_2426	bacterial metallothionein-related protein	NaN	0.0	0.0	0.0	100.0	1.828	NaN	NaN	NaN
sync_2427	hypothetical protein	NaN	0.0	0.0	0.0	10.26	0.205	NaN	NaN	NaN
sync_2428	hypothetical protein	1.526	0.181	0.119	98.29	100.0	7.624	1.255	1.008	NaN
sync_2429	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2430	hypothetical protein	NaN	0.0	0.0	0.0	83.52	0.994	NaN	NaN	NaN
sync_2431	hypothetical protein	NaN	0.0	0.0	0.0	18.01	0.18	NaN	NaN	NaN
sync_2432	hypothetical protein	NaN	0.0	0.0	0.0	41.67	0.417	NaN	NaN	NaN
sync_2433	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2434	hypothetical protein	NaN	0.0	0.0	0.0	77.63	1.058	NaN	NaN	NaN
sync_2435	hypothetical protein	1.031	0.062	0.06	39.52	100.0	3.605	0.934	1.031	0.172463303548996
sync_2436	hypothetical protein	NaN	0.0	0.0	1.29	60.23	1.812	NaN	NaN	0.0
sync_2437	Domain of unknown function DUF81	NaN	0.0	0.0	0.0	68.13	1.044	NaN	NaN	NaN
sync_2438	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.98	NaN	NaN	NaN
sync_2439	possible high light inducible protein-related protein	NaN	0.0	0.0	0.0	9.09	0.121	NaN	NaN	NaN
sync_2440	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2441	hypothetical protein	0.164	0.008	0.047	18.38	100.0	2.57	0.174	0.164	0.0
sync_2442	transporter, ZIP family, putative	0.293	0.02	0.067	47.84	100.0	5.675	0.403	0.293	1.34151348094469
sync_2443	transporter, ZIP family protein	0.204	0.021	0.101	41.1	100.0	5.765	0.21	0.259	0.0
sync_2444	hypothetical protein	0.307	0.056	0.181	89.04	100.0	6.009	0.372	0.302	0.477146042363434
sync_2445	hypothetical protein	Inf	0.188	0.0	7.8	39.01	1.199	Inf	Inf	NaN
sync_2446	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2447	O-linked GlcNAc transferase, putative	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_2448	probable hemagglutinin-related	NaN	0.0	0.0	0.0	18.34	0.183	NaN	NaN	NaN
sync_2450	Putative RNA methylase family UPF0020 family	0.077	0.017	0.217	97.45	100.0	18.46	0.087	0.09	0.0973632914034448
sync_2451	hypothetical protein	0.107	0.021	0.197	100.0	100.0	15.827	0.106	0.106	0.259732785751349
sync_2452	hypothetical protein	0.143	0.022	0.153	100.0	100.0	12.874	0.172	0.143	0.15694763278176
sync_2453	hypothetical protein	0.202	0.036	0.18	98.26	100.0	10.803	0.187	0.202	0.229748571206981
sync_2454	chromosome segregation protein SMC	0.081	0.014	0.175	80.26	100.0	8.278	0.074	0.083	0.0850292662177714
sync_2455	PRC-barrel domain protein	0.117	0.018	0.156	91.35	100.0	8.121	0.124	0.163	0.0931476211299611
sync_2456	methionine-R-sulfoxide reductase (EC:1.8.4.- )	0.146	0.024	0.168	100.0	100.0	10.824	0.134	0.143	0.0713134273729505
sync_2457	hypothetical protein	0.101	0.013	0.125	89.59	100.0	8.823	0.102	0.101	0.103301425783558
sync_2459	acetyl-CoA carboxylase, biotin carboxylase (EC:6.4.1.2 )	0.021	0.004	0.183	99.55	100.0	9.594	0.018	0.021	0.0204425859702563
sync_2460	hypothetical protein	0.087	0.012	0.141	100.0	100.0	12.636	0.074	0.087	0.365177604818479
sync_2461	photosystem II reaction centre X protein (PsbX)	0.0	0.0	0.118	100.0	100.0	13.293	0.0	0.0	0.0
sync_2462	hypothetical protein	0.08	0.017	0.216	71.5	86.83	8.374	0.081	0.08	0.129929609188197
sync_2463	lipoprotein, putative	0.103	0.021	0.202	82.39	100.0	8.949	0.102	0.103	0.0896445126024405
sync_2464	lipoprotein, putative	0.114	0.012	0.109	84.36	100.0	8.998	0.135	0.114	0.0798276070868374
sync_2465	possible high light inducible protein	0.281	0.033	0.119	78.67	100.0	6.364	0.28	0.281	NaN
sync_2466	peroxisomal fatty acyl CoA ABC transporter (P-FAT) family, ATP-binding protein	0.031	0.008	0.269	89.93	100.0	9.735	0.03	0.031	0.0703703992306967
sync_2467	histidine triad family protein	0.061	0.009	0.14	96.2	100.0	8.061	0.068	0.061	0.0305714007575505
sync_2468	Mg chelatase homolog	0.138	0.025	0.18	64.15	100.0	6.135	0.122	0.138	0.142679129805834
sync_2469	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.522	NaN	NaN	NaN
sync_2470	ribosomal protein S21	0.0	0.0	0.045	72.51	100.0	6.854	0.0	0.0	4.18546433378197
sync_2471	hypothetical protein	0.139	0.026	0.188	56.3	100.0	5.834	0.158	0.142	0.0193928849763455
sync_2472	hypothetical protein	0.013	0.003	0.187	100.0	100.0	8.167	0.013	0.013	0.0
sync_2473	peptide deformylase (EC:3.5.1.88 )	0.044	0.008	0.184	93.76	100.0	6.248	0.057	0.044	0.0666617144522995
sync_2474	peptidase, S9C (acylaminoacyl-peptidase) family protein (EC:3.4.- )	0.139	0.015	0.106	65.1	99.11	5.378	0.122	0.13	0.120622564388103
sync_2475	L-fuculose phosphate aldolase (EC:4.1.2.17 )	0.107	0.026	0.242	58.45	100.0	6.795	0.108	0.108	0.0342840980584971
sync_2476	Initiation factor 2 subunit family protein (EC:5.3.1.23 )	0.13	0.012	0.092	91.91	100.0	7.571	0.145	0.13	0.148387740327518
sync_2477	hypothetical protein	0.89	0.034	0.038	63.96	100.0	4.189	1.776	0.89	NaN
sync_2478	hypothetical protein	0.104	0.019	0.184	90.76	100.0	8.132	0.103	0.114	0.449724158309576
sync_2479	hypothetical protein	0.342	0.012	0.035	29.56	100.0	3.896	0.494	0.342	0.261335395593744
sync_2480	cysteine desulfurase, SufS family protein	0.106	0.017	0.165	85.19	100.0	9.179	0.104	0.105	0.101894903711475
sync_2481	FeS assembly protein SufD	0.129	0.034	0.265	90.27	100.0	9.322	0.133	0.129	0.133275538101156
sync_2482	FeS assembly ATPase SufC	0.053	0.011	0.214	98.61	100.0	10.579	0.052	0.057	0.0582984508572183
sync_2483	FeS assembly protein SufB	0.023	0.005	0.232	89.1	97.78	10.002	0.027	0.08	0.00714247754712204
sync_2484	Ferredoxin thioredoxin reductase, catalytic beta chain (EC:1.18.- )	0.022	0.004	0.196	100.0	100.0	10.972	0.021	0.12	0.0
sync_2485	iron-sulfur cluster biosynthesis transcriptional regulator SufR	0.045	0.006	0.13	62.15	100.0	4.896	0.048	0.045	0.068621125674052
sync_2486	hypothetical protein	0.259	0.02	0.077	53.47	100.0	3.887	0.372	0.259	0.457105234984012
sync_2487	hypothetical protein	0.098	0.012	0.124	92.32	100.0	10.784	0.1	0.098	0.0349582560781991
sync_2488	phycobilisome rod-core linker polypeptide cpcG1	0.07	0.014	0.202	98.17	100.0	10.222	0.074	0.07	0.0234504767789893
sync_2489	hypothetical protein	0.057	0.012	0.207	100.0	100.0	13.817	0.058	0.057	0.0559337826704202
sync_2490	Predicted membrane protein-related protein	0.084	0.013	0.153	94.36	100.0	13.59	0.07	0.084	0.080800507673885
sync_2491	phospholipase D domain protein	0.181	0.052	0.289	89.33	96.58	19.59	0.192	0.183	0.209909579582956
sync_2492	Predicted permease	NaN	0.0	0.0	0.0	70.0	1.167	NaN	NaN	0.0499548600662052
sync_2493	hypothetical protein	NaN	0.0	0.0	0.0	61.63	0.711	NaN	NaN	NaN
sync_2494	hypothetical protein	0.316	0.086	0.272	76.34	86.96	11.417	0.304	0.316	0.210509871059054
sync_2495	hypothetical protein	NaN	0.0	0.0	0.0	6.14	0.061	NaN	Inf	NaN
sync_2496	hypothetical protein	0.167	0.033	0.199	98.78	100.0	12.078	0.196	0.198	0.184640664513898
sync_2497	hypothetical protein	0.257	0.058	0.226	97.96	98.03	34.003	0.263	0.277	0.183254036359335
sync_2498	hypothetical protein	0.431	0.113	0.261	34.21	100.0	4.447	0.291	0.407	NaN
sync_2499	hypothetical protein	0.182	0.05	0.276	100.0	100.0	20.095	0.202	0.155	0.314838290151599
sync_2500	phosphoglucomutase/phosphomannomutase family protein	0.097	0.018	0.187	100.0	100.0	29.418	0.104	0.102	0.057069435549468
sync_2501	lipoprotein, putative	0.157	0.054	0.342	100.0	100.0	27.461	0.153	0.157	0.112286950299245
sync_2502	RND multidrug efflux transporter all3143	0.05	0.013	0.267	100.0	100.0	27.062	0.05	0.049	0.0610675079605294
sync_2503	efflux transporter, RND family, MFP subunit subfamily	0.117	0.03	0.253	100.0	100.0	15.945	0.125	0.116	0.26029133157562
sync_2504	ATPase	0.112	0.017	0.152	98.05	100.0	12.836	0.128	0.121	0.203767562995569
sync_2505	possible Protein phosphatase 2C	0.165	0.016	0.1	100.0	100.0	13.105	0.154	0.165	0.187191205914367
sync_2506	hypothetical protein	Inf	0.045	0.0	17.24	100.0	3.718	Inf	Inf	NaN
sync_2507	possible 4'-phosphopantetheinyl transferase family protein	0.302	0.045	0.149	100.0	100.0	12.965	0.289	0.302	0.708436109284857
sync_2508	bacterioferritin comigratory protein (EC:1.11.1.15 )	0.098	0.012	0.118	100.0	100.0	15.256	0.096	0.098	0.066185786475232
sync_2509	transcriptional activator, putative, Baf family protein	0.22	0.058	0.266	100.0	100.0	13.67	0.215	0.22	0.54445661931982
sync_2510	Phosphoadenosine phosphosulfate reductase (EC:1.8.4.8 )	0.068	0.01	0.152	52.07	100.0	6.725	0.078	0.068	0.0465604275945774
sync_2511	NADH dehydrogenase, FAD-containing subunit (EC:1.6.99.3 )	0.206	0.023	0.111	88.86	100.0	8.154	0.214	0.206	0.195193057133878
sync_2512	GTP-binding protein HflX homolog	0.058	0.008	0.137	73.84	100.0	8.21	0.062	0.063	0.0723045912866714
sync_2513	hypothetical protein	Inf	0.047	0.0	19.05	100.0	2.389	Inf	Inf	NaN
sync_2514	possible sodium transporter, Trk family protein	0.028	0.004	0.159	96.87	100.0	9.689	0.031	0.028	0.05107444794806
sync_2515	K+ transporter, Trk family protein	0.027	0.005	0.193	100.0	100.0	14.519	0.028	0.027	0.00773196616270865
sync_2516	Predicted molecular chaperone	0.168	0.029	0.173	92.47	100.0	10.388	0.158	0.168	0.225943692286008
sync_2517	hypothetical protein	0.296	0.013	0.045	51.73	100.0	5.28	0.403	0.568	0.732105979395829
sync_2518	hypothetical protein	0.64	0.057	0.09	98.58	100.0	7.369	0.656	0.666	NaN
sync_2519	Predicted membrane protein	0.048	0.007	0.141	100.0	100.0	8.862	0.044	0.051	0.0779711647708432
sync_2520	hypothetical protein	0.153	0.005	0.03	43.42	100.0	4.193	0.153	0.153	0.0364041604754829
sync_2521	hypothetical protein	0.234	0.023	0.099	81.88	100.0	8.337	0.242	0.256	1.08491100037477
sync_2522	putative drug resistance ATPase-1 (Drug RA1) ABC transporter family, ATP-binding protein	0.09	0.012	0.131	82.53	100.0	8.599	0.087	0.09	0.0680241709215466
sync_2523	peptidase, S1C (protease Do) family protein (EC:3.4.21.- )	0.125	0.022	0.179	99.48	100.0	9.99	0.13	0.126	0.304970381752401
sync_2524	Uncharacterized membrane protein	0.099	0.022	0.225	95.13	100.0	7.154	0.087	0.099	0.0886055142716637
sync_2525	hypothetical protein	0.015	0.002	0.168	100.0	100.0	15.703	0.021	0.015	0.00350334827603468
sync_2526	hypothetical protein	0.019	0.004	0.231	100.0	100.0	12.419	0.056	0.019	NaN
sync_2527	ATP-dependent helicase HrpB	0.163	0.031	0.192	97.66	100.0	13.635	0.168	0.161	0.20282886687135
sync_2528	Lhc-like protein Lhl4 (EC:4.99.1.1 )	0.05	0.012	0.239	100.0	100.0	21.058	0.052	0.05	0.00908353609083536
sync_2529	hypothetical protein	0.252	0.042	0.165	100.0	100.0	17.726	0.279	0.252	1.16381626852198
sync_2530	exodeoxyribonuclease VII, large subunit (EC:3.1.11.6 )	0.16	0.047	0.294	100.0	100.0	21.297	0.163	0.16	0.188984519012391
sync_2531	Exodeoxyribonuclease VII small subunit (EC:3.1.11.6 )	0.116	0.04	0.346	100.0	100.0	24.856	0.136	0.116	0.167516431492204
sync_2532	Uncharacterized membrane protein	0.187	0.055	0.296	100.0	100.0	27.891	0.205	0.187	0.158803684671673
sync_2533	possible Zinc finger, C3HC4 type (RING finger)	0.194	0.054	0.28	100.0	100.0	29.801	0.185	0.194	0.273649028520585
sync_2534	YihY family protein	0.112	0.036	0.317	100.0	100.0	24.908	0.11	0.111	0.0948072951652255
sync_2540	inositol monophosphate family protein (EC:3.1.3.25 )	0.104	0.026	0.246	98.04	100.0	8.416	0.107	0.104	0.353462971039458
sync_2541	possible RND family outer membrane efflux protein	0.171	0.048	0.282	52.46	98.26	5.878	0.196	0.171	0.321536656814417
sync_2542	possible Fe-S oxidoreductase	0.098	0.024	0.242	99.56	100.0	11.903	0.101	0.098	0.166512562186433
sync_2543	undecaprenol kinase, putative	0.074	0.011	0.149	91.67	100.0	10.671	0.078	0.073	0.0607495727230114
sync_2544	hypothetical protein	0.156	0.024	0.157	52.61	96.25	4.77	0.121	0.201	0.452012550889427
sync_2545	photosystem II 12 kDa extrinsic protein PsbU	0.027	0.002	0.091	100.0	100.0	10.0	0.026	0.027	0.0519703328343169
sync_2546	L-aspartate oxidase (EC:1.4.3.16 )	0.091	0.015	0.165	100.0	100.0	10.296	0.096	0.09	0.185858089259715
sync_2547	VKORC1/thioredoxin domain protein	0.081	0.013	0.156	98.73	100.0	9.241	0.088	0.081	0.13621184819379
sync_2548	MiaB-like tRNA modifying enzyme YliG, TIGR01125	0.053	0.012	0.228	100.0	100.0	11.422	0.053	0.059	0.0511056353565985
sync_2549	multidrug efflux MFS family transporter	0.097	0.015	0.152	100.0	100.0	10.289	0.091	0.098	0.164650537292099
sync_2550	hypothetical protein	0.2	0.017	0.086	100.0	100.0	11.123	0.194	0.2	NaN
sync_2551	radical SAM domain/ B12 binding domain protein (EC:2.1.1.- )	0.029	0.005	0.173	79.73	100.0	8.19	0.028	0.029	0.0812362958909426
sync_2552	hypothetical protein	0.124	0.022	0.18	100.0	100.0	8.93	0.129	0.124	1.0985022374643
sync_2553	hypothetical protein	0.146	0.028	0.193	57.95	100.0	5.998	0.158	0.146	0.377553008119469
sync_2554	hypothetical protein	0.27	0.031	0.113	66.18	99.28	4.667	0.234	0.27	0.125534204145278
sync_2555	riboflavin biosynthesis protein RibD C-terminal domain protein	0.198	0.039	0.199	37.9	100.0	4.493	0.193	0.198	0.235365517891126
sync_2556	6-pyruvoyl-tetrahydropterin synthase homolog (EC:4.2.3.12 )	0.068	0.006	0.094	76.98	97.94	6.926	0.067	0.068	0.0868467070942693
sync_2557	shikimate kinase (EC:2.7.1.71 )	0.084	0.008	0.092	66.51	100.0	6.18	0.081	0.103	0.201955783925314
sync_2558	hypothetical protein	0.049	0.009	0.183	89.58	100.0	7.024	0.05	0.093	0.490587438747407
sync_2559	hypothetical protein	0.259	0.024	0.093	82.26	100.0	9.25	0.251	0.259	0.295299160120879
sync_2560	Glutathione S-transferase zeta class (EC:2.5.1.18 )	0.118	0.012	0.103	72.45	100.0	7.212	0.117	0.118	0.280206403337292
sync_2561	Protein of unknown function (DUF751) family protein	0.141	0.006	0.045	82.22	100.0	5.826	0.124	0.141	0.263826649595318
sync_2562	ribosome-binding factor A	0.034	0.004	0.119	84.69	100.0	6.109	0.03	0.034	0.0295150619516148
sync_2563	Possible beta-N-acetylglucosaminidase (EC:3.2.1.52 )	0.259	0.026	0.099	70.1	97.17	7.541	0.24	0.259	0.18977416318025
sync_2564	Glycosyl transferase, family 2:TPR repeat	0.078	0.008	0.108	86.1	100.0	6.289	0.078	0.078	0.0568795240880827
sync_2565	uroporphyrinogen-III synthase (EC:4.2.1.75 )	0.093	0.015	0.162	100.0	100.0	9.595	0.088	0.093	0.131429909193883
sync_2566	hypothetical protein	0.339	0.051	0.149	94.66	100.0	7.955	0.357	0.316	0.470487729232909
sync_2567	Oligoketide cyclase/lipid transport protein homolog	0.183	0.032	0.176	100.0	100.0	8.032	0.197	0.183	0.144997280576474
sync_2568	zeta-carotene desaturase (EC:1.14.99.30 )	0.037	0.006	0.177	65.24	99.39	5.786	0.04	0.037	0.0388835004241695
sync_2569	iron-sulfur cluster assembly accessory protein	0.034	0.005	0.155	89.57	100.0	6.341	0.033	0.034	0.0619342223369496
sync_2570	TPR-repeat protein, specific for cyanobacteria	0.035	0.005	0.143	86.25	100.0	7.471	0.031	0.035	0.0270804331250564
sync_2571	hypothetical protein	0.214	0.026	0.121	82.13	100.0	7.752	0.227	0.21	0.524904817028547
sync_2572	hypothetical protein	0.148	0.025	0.172	86.59	100.0	8.065	0.122	0.148	0.098607340042709
sync_2573	conserved hypothetical protein TIGR01777	0.123	0.024	0.197	98.2	100.0	12.117	0.125	0.123	0.249720601976423
sync_2574	transporter, monovalent cation:proton antiporter-2 (CPA2) family protein	0.173	0.024	0.138	78.63	100.0	7.758	0.17	0.176	0.255838796214066
sync_2575	hypothetical protein	0.154	0.024	0.155	100.0	100.0	13.116	0.135	0.109	0.203864795088223
sync_2576	possible heat shock protein DnaJ	0.126	0.02	0.162	100.0	100.0	8.624	0.146	0.124	0.168270802979635
sync_2577	cysteine synthase A (EC:2.5.1.47 )	0.075	0.011	0.14	87.1	100.0	6.45	0.072	0.075	0.18940289145779
sync_2578	hypothetical protein	NaN	0.0	0.0	0.0	89.58	0.896	NaN	NaN	NaN
sync_2579	possible porin	0.149	0.032	0.217	50.17	72.74	9.108	0.154	0.175	0.167996106452694
sync_2580	hypothetical protein	0.379	0.079	0.208	24.18	33.33	2.444	0.562	0.379	NaN
sync_2581	possible porin	0.145	0.035	0.243	42.02	77.97	7.779	0.131	0.255	0.17453999517379
sync_2582	hypothetical protein	NaN	0.0	0.0	0.0	58.97	0.841	NaN	NaN	NaN
